"","unknown","joy","sadness","anger","surprise","fear","disgust"
"aaj",1,0,0,0,0,0,0
"aap",1,1,0,0,0,0,0
"aat",1,0,0,0,0,0,0
"aayeng",1,0,0,0,0,0,0
"abhishek",0,1,0,0,0,0,0
"about",32,1,1,2,0,0,0
"abraham",183,4,2,1,0,0,0
"absolut",1,0,0,0,0,0,0
"abt",9,0,0,0,0,0,0
"abus",1,0,0,0,0,0,0
"acadam",1,0,0,0,0,0,0
"academ",6,0,0,0,0,0,0
"academician",2,0,0,0,0,0,0
"accept",1,0,0,0,0,0,0
"access",2,0,0,0,0,0,0
"accord",1,0,0,0,0,0,0
"account",2,0,0,0,0,0,0
"accus",1,0,0,0,0,0,0
"achiev",1,0,0,0,0,1,0
"act",1,1,0,0,0,1,0
"activist",2,0,0,0,0,0,0
"actorh",1,0,0,0,0,0,0
"actress",3,0,0,0,0,0,0
"actual",2,1,0,0,0,0,0
"add",1,0,0,0,0,1,0
"addmor",1,0,0,0,0,0,0
"address",8,1,0,0,0,0,0
"admiss",0,1,0,0,0,1,0
"adopt",1,0,0,0,0,0,0
"advanc",1,0,0,0,0,0,0
"advertis",5,0,0,0,0,0,0
"advoc",1,0,0,0,0,0,0
"affect",1,0,0,0,0,0,0
"afraid",0,0,0,0,0,1,0
"after",11,2,0,0,0,0,0
"again",1,0,0,2,0,0,0
"against",20,0,0,0,0,0,0
"age",1,0,0,0,0,0,0
"agit",1,1,0,0,0,0,0
"ago",1,0,0,0,0,0,0
"agre",0,1,0,0,0,0,0
"agreethen",0,0,0,1,0,0,0
"ailment",0,0,1,0,0,0,0
"aim",0,1,0,0,0,0,0
"air",6,0,0,0,0,0,0
"airport",1,0,0,0,0,0,0
"akash",0,1,0,0,0,0,0
"alia",2,0,0,0,0,1,0
"alivequot",1,0,0,0,0,0,0
"all",24,3,2,1,1,0,0
"allot",0,1,0,0,0,0,0
"allow",1,0,0,0,0,0,0
"almst",1,0,0,0,0,0,0
"alreadi",4,1,0,0,0,0,0
"also",13,0,0,1,0,0,0
"alv",3,0,0,0,0,0,0
"alway",4,0,0,0,0,0,0
"amarulaku",0,1,0,0,0,0,0
"amazon",3,0,0,0,0,0,0
"ambani",0,1,0,0,0,0,0
"america",3,0,0,0,0,0,0
"amethi",49,0,0,0,0,0,0
"amethibut",0,0,0,0,0,1,0
"amethim",1,0,0,0,0,0,0
"amidst",1,0,0,0,0,0,0
"amma",1,0,0,0,0,0,0
"amp",628,23,7,5,1,0,2
"ampamp",1,0,0,0,0,0,0
"ampnot",1,0,0,0,0,0,0
"amprahul",1,0,0,0,0,0,0
"amptelangana",0,1,0,0,0,0,0
"amulth",0,1,0,0,0,0,0
"amus",2,0,0,0,0,0,0
"anchor",2,0,0,0,0,0,0
"and",100,7,7,3,2,2,0
"anda",1,0,0,0,0,0,0
"andhra",13,1,1,0,0,0,0
"andrea",1,0,0,0,0,0,0
"ani",3,2,0,1,0,0,0
"anna",3,2,0,0,0,0,1
"announc",2,0,0,0,0,0,0
"anoth",2,0,0,0,0,0,0
"answer",7,1,0,0,0,0,0
"anta",1,0,0,0,0,0,0
"anti",3,0,0,0,0,0,0
"anticorrupt",1,1,0,0,0,0,0
"antigraft",3,0,0,0,0,0,0
"anyon",0,2,1,1,0,0,0
"anyth",1,0,1,0,0,0,0
"anyway",1,0,0,0,0,0,0
"aph",2,0,0,0,0,0,0
"app",0,0,1,0,0,0,0
"appar",1,0,0,0,0,0,0
"appear",1,0,0,1,0,0,0
"apprais",1,0,0,0,0,0,0
"are",607,17,6,5,2,1,0
"arent",1,0,0,0,0,0,0
"argu",0,1,0,0,0,0,0
"armi",2,0,0,0,0,0,0
"arnab",8,0,1,0,0,0,0
"arnaband",1,0,0,0,0,0,0
"arriv",1,0,0,0,0,0,0
"arun",2,1,0,0,0,0,0
"arvind",13,1,1,0,0,0,0
"ask",21,1,0,0,0,0,0
"askin",1,0,0,0,0,0,0
"asphalt",1,0,0,0,0,0,0
"aspir",4,0,0,0,0,0,0
"assassin",4,0,1,0,0,0,0
"assit",0,0,0,0,1,0,0
"assur",1,0,0,0,0,0,0
"atm",1,0,0,0,0,0,0
"attack",1,8,0,0,0,0,0
"attempt",1,0,1,0,0,0,0
"attend",2,0,0,0,0,0,0
"attent",1,0,0,0,0,0,0
